,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
50,SVC,Extraversion,keep median,pearson,solver,mean_strl,4.36,roc_auc_ovr_weighted,19,152,100.0,0,50.0,53.39,0.0,33.074,50.0,43.548,0.0,51.958
51,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,4.332,roc_auc_ovr_weighted,19,151,100.0,0,82.06,83.051,79.167,90.451,47.91,46.774,37.736,41.641
52,SVC,Neuroticism,keep median,pearson,solver,mean_strl,4.217,roc_auc_ovr_weighted,20,147,100.0,0,58.536,58.475,56.637,45.747,42.79,43.548,50.704,61.338
53,SVC,Extraversion,keep median,pearson,solver,mean_FA,4.159,roc_auc_ovr_weighted,19,145,100.0,0,54.589,55.085,49.524,43.463,52.328,50.0,43.636,48.995
54,SVC,Extraversion,keep median,pearson,solver,num_streamlines,4.073,roc_auc_ovr_weighted,18,142,100.0,0,50.0,53.39,0.0,15.584,50.0,43.548,0.0,58.677
55,SVC,Neuroticism,keep median,pearson,solver,mean_strl,4.016,roc_auc_ovr_weighted,18,140,100.0,0,65.741,68.644,47.887,1.302,49.582,46.774,10.811,50.47
56,SVC,Neuroticism,keep median,pearson,solver,mean_strl,3.873,roc_auc_ovr_weighted,19,135,100.0,0,50.0,54.237,0.0,12.124,50.0,46.774,0.0,51.724
57,SVC,Neuroticism,keep median,pearson,solver,mean_FA,3.758,roc_auc_ovr_weighted,18,131,100.0,0,94.097,94.068,93.578,93.605,53.135,53.226,55.385,58.725
58,SVC,Extraversion,keep median,pearson,solver,mean_strl,3.729,roc_auc_ovr_weighted,18,130,100.0,0,50.0,46.61,63.584,23.752,50.0,56.452,72.165,47.937
59,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,3.701,roc_auc_ovr_weighted,18,129,100.0,0,100.0,100.0,100.0,100.0,50.052,48.387,33.333,43.783
60,SVC,Neuroticism,keep median,pearson,solver,mean_FA,3.643,roc_auc_ovr_weighted,17,127,100.0,0,52.778,56.78,10.526,3.125,50.0,46.774,0.0,39.916
61,SVC,Extraversion,keep median,pearson,solver,mean_strl,3.557,roc_auc_ovr_weighted,17,124,100.0,0,81.501,81.356,80.702,15.815,54.339,53.226,52.459,43.175
62,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,3.5,roc_auc_ovr_weighted,17,122,100.0,0,100.0,100.0,100.0,100.0,49.425,48.387,40.741,51.62
63,SVC,Extraversion,keep median,pearson,solver,mean_FA,3.299,roc_auc_ovr_weighted,18,115,100.0,0,50.0,53.39,0.0,36.306,50.0,43.548,0.0,47.831
64,SVC,Neuroticism,keep median,pearson,solver,mean_strl,3.242,roc_auc_ovr_weighted,17,113,100.0,0,63.513,63.559,61.261,61.603,57.21,56.452,52.632,53.71
65,SVC,Extraversion,keep median,pearson,solver,mean_FA,3.213,roc_auc_ovr_weighted,16,112,100.0,0,50.0,53.39,0.0,35.671,50.0,43.548,0.0,44.868
66,SVC,Neuroticism,keep median,pearson,solver,mean_FA,3.155,roc_auc_ovr_weighted,16,110,100.0,0,92.679,92.373,92.035,93.634,53.344,53.226,53.968,55.381
67,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,3.098,roc_auc_ovr_weighted,16,108,100.0,0,100.0,100.0,100.0,100.0,54.389,53.226,45.283,49.425
68,SVC,Neuroticism,keep median,pearson,solver,mean_strl,2.84,roc_auc_ovr_weighted,16,99,100.0,0,83.507,83.051,82.759,88.484,51.411,51.613,54.545,48.642
69,SVC,Extraversion,keep median,pearson,solver,mean_FA,2.783,roc_auc_ovr_weighted,15,97,100.0,0,50.0,46.61,63.584,26.898,50.0,56.452,72.165,52.169
70,SVC,Neuroticism,keep median,pearson,solver,mean_FA,2.697,roc_auc_ovr_weighted,15,94,100.0,0,85.417,85.593,84.112,94.184,47.283,46.774,44.068,43.887
71,SVC,Extraversion,keep median,pearson,solver,mean_strl,2.639,roc_auc_ovr_weighted,15,92,100.0,0,50.0,46.61,63.584,27.965,50.0,56.452,72.165,45.926
72,SVC,Extraversion,keep median,pearson,solver,num_streamlines,2.496,roc_auc_ovr_weighted,14,87,100.0,0,50.0,53.39,0.0,7.504,50.0,43.548,0.0,43.386
73,SVC,Neuroticism,keep median,pearson,solver,mean_strl,2.467,roc_auc_ovr_weighted,14,86,100.0,0,97.512,97.458,97.248,0.318,45.35,45.161,45.161,55.12
74,SVC,Extraversion,keep median,pearson,solver,mean_FA,2.324,roc_auc_ovr_weighted,14,81,100.0,0,51.472,48.305,63.905,37.056,53.704,59.677,73.684,47.619
75,SVC,Extraversion,keep median,pearson,solver,mean_strl,2.266,roc_auc_ovr_weighted,14,79,100.0,0,50.0,53.39,0.0,28.196,50.0,43.548,0.0,47.09
76,SVC,Extraversion,keep median,pearson,solver,num_streamlines,2.18,roc_auc_ovr_weighted,13,76,100.0,0,100.0,100.0,100.0,0.0,49.894,46.774,35.294,51.852
77,SVC,Neuroticism,keep median,pearson,solver,mean_FA,2.123,roc_auc_ovr_weighted,14,74,100.0,0,79.803,79.661,78.571,89.149,43.626,43.548,44.444,41.484
78,SVC,Neuroticism,keep median,pearson,solver,mean_strl,2.094,roc_auc_ovr_weighted,13,73,100.0,0,100.0,100.0,100.0,0.0,39.76,40.323,46.377,62.382
79,SVC,Neuroticism,keep median,pearson,solver,mean_FA,2.065,roc_auc_ovr_weighted,13,72,100.0,0,50.0,54.237,0.0,9.375,50.0,46.774,0.0,50.366
80,SVC,Extraversion,keep median,pearson,solver,mean_FA,1.951,roc_auc_ovr_weighted,13,68,100.0,0,50.0,53.39,0.0,35.267,51.429,45.161,5.556,46.878
81,SVC,Extraversion,keep median,pearson,solver,mean_strl,1.922,roc_auc_ovr_weighted,13,67,100.0,0,50.0,53.39,0.0,41.212,50.0,43.548,0.0,52.804
82,SVC,Extraversion,keep median,pearson,solver,num_streamlines,1.865,roc_auc_ovr_weighted,12,65,100.0,0,50.0,46.61,63.584,15.007,50.0,56.452,72.165,60.0
83,SVC,Extraversion,keep median,pearson,solver,mean_FA,1.807,roc_auc_ovr_weighted,12,63,100.0,0,50.0,53.39,0.0,36.19,51.429,45.161,5.556,46.455
84,SVC,Neuroticism,keep median,pearson,solver,mean_FA,1.779,roc_auc_ovr_weighted,12,62,100.0,0,50.0,54.237,0.0,18.721,50.0,46.774,0.0,42.006
85,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,1.75,roc_auc_ovr_weighted,12,61,100.0,0,96.441,96.61,96.226,99.913,44.044,43.548,40.678,39.916
86,SVC,Extraversion,keep median,pearson,solver,mean_strl,1.721,roc_auc_ovr_weighted,12,60,100.0,0,50.0,53.39,0.0,29.524,50.0,43.548,0.0,46.032
87,SVC,Extraversion,keep median,pearson,solver,mean_FA,1.578,roc_auc_ovr_weighted,11,55,100.0,0,50.0,53.39,0.0,35.584,51.429,45.161,5.556,45.926
88,SVC,Extraversion,keep median,pearson,solver,num_streamlines,1.52,roc_auc_ovr_weighted,11,53,100.0,0,55.96,55.932,54.386,58.297,43.386,45.161,54.054,58.148
89,SVC,Neuroticism,keep median,pearson,solver,mean_FA,1.463,roc_auc_ovr_weighted,11,51,100.0,0,58.767,61.864,34.783,21.181,52.194,50.0,27.907,40.648
90,SVC,Neuroticism,keep median,pearson,solver,mean_strl,1.434,roc_auc_ovr_weighted,11,50,100.0,0,70.341,70.339,68.468,68.432,42.999,43.548,49.275,38.245
