,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
102,SVC,Openness,test throw median,pearson,solver,num_streamlines,3.445,balanced_accuracy,20,123,100.0,0.005,99.194,99.107,99.01,100.0,54.037,52.941,50.0,52.795
103,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.389,balanced_accuracy,20,121,100.0,0.01,66.233,65.254,67.2,64.265,58.528,59.184,64.286,58.027
104,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,3.305,balanced_accuracy,20,118,100.0,0.01,97.512,97.458,97.248,99.826,55.686,55.102,52.174,50.669
105,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,3.277,balanced_accuracy,20,117,100.0,0.01,60.59,61.017,56.604,41.782,45.067,44.898,44.898,48.495
106,SVC,Extraversion,test throw median,pearson,solver,mean_FA,3.249,balanced_accuracy,20,116,100.0,0.01,100.0,100.0,100.0,0.0,48.091,46.809,35.897,42.0
107,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,3.193,balanced_accuracy,20,114,100.0,0.01,50.0,53.39,0.0,21.76,50.0,46.809,0.0,63.909
108,SVC,Openness,test throw median,pearson,solver,mean_FA,3.137,balanced_accuracy,20,112,100.0,0.01,63.29,64.286,57.447,69.742,50.466,49.02,43.478,52.64
109,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.053,balanced_accuracy,20,109,100.0,0.01,100.0,100.0,100.0,100.0,60.086,59.184,56.522,61.552
110,SVC,Openness,test throw median,pearson,solver,num_streamlines,2.997,balanced_accuracy,20,107,100.0,0.01,86.323,85.714,85.185,94.613,50.699,50.98,54.545,53.727
111,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,2.913,balanced_accuracy,20,104,100.0,0.01,100.0,100.0,100.0,0.0,42.931,48.98,13.793,58.793
112,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,2.885,balanced_accuracy,15,103,100.0,0.001,71.296,69.492,73.529,76.505,51.505,53.061,63.492,62.876
113,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,2.857,balanced_accuracy,15,102,100.0,0.001,95.408,94.958,94.118,1.429,56.034,57.143,48.78,47.759
114,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,2.829,balanced_accuracy,15,101,100.0,0.001,85.113,85.455,83.673,81.631,41.429,46.939,23.529,37.755
115,SVC,Extraversion,test throw median,pearson,solver,mean_FA,2.801,balanced_accuracy,15,100,100.0,0.001,98.297,98.305,98.182,99.942,41.0,40.426,36.364,50.545
116,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,2.773,balanced_accuracy,15,99,100.0,0.001,93.808,94.068,93.333,98.119,55.184,55.102,56.0,55.184
117,SVC,Openness,test throw median,pearson,solver,mean_FA,2.745,balanced_accuracy,15,98,100.0,0.001,90.581,91.071,89.583,98.323,48.913,49.02,51.852,50.155
118,SVC,Openness,test throw median,pearson,solver,num_streamlines,2.717,balanced_accuracy,15,97,100.0,0.001,99.194,99.107,99.01,98.613,55.823,54.902,53.061,47.671
119,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,2.689,balanced_accuracy,20,96,100.0,0.01,100.0,100.0,100.0,100.0,43.571,40.816,32.558,45.612
120,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,2.633,balanced_accuracy,15,94,100.0,0.005,94.082,94.118,92.929,0.729,55.259,57.143,46.154,52.241
121,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,2.605,balanced_accuracy,15,93,100.0,0.001,95.408,94.958,94.118,97.697,62.586,61.224,59.574,62.241
122,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,2.577,balanced_accuracy,15,92,100.0,0.005,75.174,75.424,72.897,18.142,47.742,46.939,40.909,56.856
123,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,2.269,balanced_accuracy,15,81,100.0,0.006,100.0,100.0,100.0,100.0,57.586,57.143,53.333,58.966
124,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,2.493,balanced_accuracy,15,89,100.0,0.005,100.0,100.0,100.0,0.0,41.89,42.857,51.724,58.361
125,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,2.465,balanced_accuracy,15,88,100.0,0.006,100.0,100.0,100.0,0.0,45.987,46.939,55.172,53.177
126,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,2.409,balanced_accuracy,15,86,100.0,0.005,92.606,92.727,92.157,97.447,55.714,55.102,42.105,55.612
127,SVC,Openness,test throw median,pearson,solver,mean_FA,2.381,balanced_accuracy,15,85,100.0,0.005,63.29,64.286,57.447,68.323,52.252,50.98,46.809,51.398
128,SVC,Extraversion,test throw median,pearson,solver,mean_FA,2.437,balanced_accuracy,15,87,100.0,0.006,86.71,87.288,85.149,91.154,50.091,48.936,40.0,49.818
129,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,2.325,balanced_accuracy,15,83,100.0,0.005,100.0,100.0,100.0,0.0,47.241,44.898,47.059,47.241
130,SVC,Openness,test throw median,pearson,solver,mean_FA,2.521,balanced_accuracy,15,90,100.0,0.006,78.968,80.357,75.0,90.613,54.814,52.941,45.455,59.472
131,SVC,Extraversion,test throw median,pearson,solver,mean_FA,2.269,balanced_accuracy,15,81,100.0,0.01,83.42,83.898,81.553,89.351,48.091,46.809,35.897,57.818
132,SVC,Openness,test throw median,pearson,solver,num_streamlines,2.241,balanced_accuracy,15,80,100.0,0.005,97.581,97.321,97.087,99.774,62.966,62.745,64.151,59.006
133,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,2.213,balanced_accuracy,15,79,100.0,0.01,69.155,67.797,70.769,72.251,50.084,51.02,58.621,57.107
134,SVC,Extraversion,test throw median,pearson,solver,mean_strl,2.157,balanced_accuracy,15,77,100.0,0.01,88.081,88.136,87.273,92.785,53.545,53.191,52.174,57.364
135,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,2.241,balanced_accuracy,15,80,100.0,0.006,81.565,81.818,80.0,93.717,50.714,51.02,36.842,46.939
136,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,2.073,balanced_accuracy,15,74,100.0,0.01,94.184,94.958,93.617,96.443,50.086,51.02,42.857,51.724
137,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,2.045,balanced_accuracy,15,73,100.0,0.01,82.784,83.051,81.132,89.034,34.448,34.694,38.462,33.779
138,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,2.073,balanced_accuracy,15,74,100.0,0.006,78.98,78.151,75.926,87.201,46.81,48.98,35.897,49.31
139,SVC,Openness,test throw median,pearson,solver,mean_FA,1.961,balanced_accuracy,15,70,100.0,0.01,63.29,64.286,57.447,68.129,52.252,50.98,46.809,52.019
140,SVC,Openness,test throw median,pearson,solver,num_streamlines,1.905,balanced_accuracy,15,68,100.0,0.01,100.0,100.0,100.0,100.0,44.177,45.098,51.724,50.0
141,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,1.877,balanced_accuracy,15,67,100.0,0.01,67.653,73.109,52.941,81.983,47.931,53.061,25.806,53.276
