,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
131,SVC,Conscientiousness,keep median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,97.494,97.5,97.368,99.749,66.395,65.957,71.429,62.138,False,0
132,SVC,Conscientiousness,keep median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,60.054,59.574,66.667,63.587,False,0
133,SVC,Conscientiousness,keep median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,66.304,65.957,70.37,62.5,False,0
134,SVC,Conscientiousness,keep median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,82.456,82.5,81.579,77.162,61.775,61.702,62.5,57.337,False,0
135,SVC,Neuroticism,keep median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,97.297,97.531,97.222,99.939,48.519,46.809,44.444,50.37,False,0
136,SVC,Neuroticism,keep median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,43.426,44.681,51.852,50.741,False,0
137,SVC,Neuroticism,keep median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,44.63,46.809,56.14,50.0,False,0
138,SVC,Neuroticism,keep median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,49.074,48.936,52.0,46.481,False,0
139,SVC,Neuroticism,keep median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,62.408,61.728,62.651,36.302,57.778,57.447,60.0,48.704,False,0
140,SVC,Extraversion,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,85.317,85.897,83.582,92.923,55.952,55.319,55.319,58.059,False,0
141,SVC,Extraversion,keep median,pearson,baseline,mean_FA,5,balanced_accuracy,175,90.675,91.026,89.855,92.857,53.114,53.191,56.0,55.311,False,0
142,SVC,Extraversion,keep median,pearson,baseline,mean_FA,10,balanced_accuracy,350,89.286,89.744,88.235,91.601,62.179,61.702,62.5,55.678,False,0
143,SVC,Extraversion,keep median,pearson,baseline,mean_FA,50,balanced_accuracy,1791,100.0,100.0,100.0,0.0,47.619,42.553,0.0,50.0,False,0
