,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
74,74,MLP,Gender,random,t_test,solver,mean_FA,0.287,balanced_accuracy,10,77.597,79.433,83.429,86.76799999999999,70.693,70.968,67.857,76.786
0,0,SVC,Gender,random,t_test,baseline,num_streamlines,2.0,balanced_accuracy,70,94.82799999999999,95.745,96.512,99.314,75.21,74.194,75.0,88.655
1,1,SVC,Gender,random,t_test,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,78.46600000000001,77.419,78.125,89.391
2,2,SVC,Gender,random,t_test,baseline,num_streamlines,10.0,balanced_accuracy,349,97.414,97.87200000000001,98.225,99.855,73.73899999999999,72.581,73.846,90.021
5,5,SVC,Gender,random,t_test,baseline,mean_strl,2.0,balanced_accuracy,70,82.852,84.397,87.35600000000001,89.074,68.697,67.742,68.75,73.634
6,6,SVC,Gender,random,t_test,baseline,mean_strl,5.0,balanced_accuracy,175,84.057,85.816,88.63600000000001,92.23100000000001,66.91199999999999,66.12899999999999,66.667,75.21
7,7,SVC,Gender,random,t_test,baseline,mean_strl,10.0,balanced_accuracy,349,99.13799999999999,99.291,99.40100000000001,100.0,65.126,64.516,64.516,78.09899999999999
10,10,SVC,Gender,random,fscores,baseline,mean_FA,2.0,balanced_accuracy,71,81.64699999999999,82.979,86.04700000000001,85.916,63.34,62.903,62.295,71.84899999999999
11,11,SVC,Gender,random,fscores,baseline,mean_FA,5.0,balanced_accuracy,175,81.64699999999999,82.979,86.04700000000001,87.59899999999999,63.34,62.903,62.295,74.475
12,12,SVC,Gender,random,fscores,baseline,mean_FA,10.0,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303
15,15,SVC,Gender,random,t_test,baseline,mean_FA,2.0,balanced_accuracy,70,82.852,84.397,87.35600000000001,89.074,68.697,67.742,68.75,73.634
16,16,SVC,Gender,random,t_test,baseline,mean_FA,5.0,balanced_accuracy,175,84.057,85.816,88.63600000000001,92.23100000000001,66.91199999999999,66.12899999999999,66.667,75.21
17,17,SVC,Gender,random,t_test,baseline,mean_FA,10.0,balanced_accuracy,349,99.13799999999999,99.291,99.40100000000001,100.0,65.126,64.516,64.516,78.15100000000001
20,20,SVC,Gender,random,fscores,baseline,mean_strl,2.0,balanced_accuracy,71,81.64699999999999,82.979,86.04700000000001,85.916,63.34,62.903,62.295,71.84899999999999
21,21,SVC,Gender,random,fscores,baseline,mean_strl,5.0,balanced_accuracy,175,81.64699999999999,82.979,86.04700000000001,87.59899999999999,63.34,62.903,62.295,74.475
22,22,SVC,Gender,random,fscores,baseline,mean_strl,10.0,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303
25,25,SVC,Gender,random,fscores,baseline,num_streamlines,2.0,balanced_accuracy,71,100.0,100.0,100.0,100.0,76.99600000000001,75.806,76.923,88.655
26,26,SVC,Gender,random,fscores,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.49600000000001
27,27,SVC,Gender,random,fscores,baseline,num_streamlines,10.0,balanced_accuracy,351,97.414,97.87200000000001,98.225,99.896,76.681,75.806,76.19,89.811
30,30,RF,Gender,random,t_test,baseline,num_streamlines,2.0,balanced_accuracy,70,100.0,100.0,100.0,100.0,76.99600000000001,75.806,76.923,88.13
31,31,RF,Gender,random,t_test,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,73.42399999999999,72.581,73.016,88.34
32,32,RF,Gender,random,t_test,baseline,num_streamlines,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,71.639,70.968,70.968,88.025
35,35,RF,Gender,random,t_test,baseline,mean_strl,2.0,balanced_accuracy,70,89.31200000000001,90.78,92.571,98.774,63.655,62.903,63.492,72.164
36,36,RF,Gender,random,t_test,baseline,mean_strl,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.298,58.065,56.667,67.805
37,37,RF,Gender,random,t_test,baseline,mean_strl,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,56.828,56.452,55.738,67.752
40,40,RF,Gender,random,fscores,baseline,mean_FA,2.0,balanced_accuracy,71,96.811,97.163,97.619,99.834,61.239,61.29,58.621,69.538
41,41,RF,Gender,random,fscores,baseline,mean_FA,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.613,58.065,58.065,67.48899999999999
42,42,RF,Gender,random,fscores,baseline,mean_FA,10.0,balanced_accuracy,353,100.0,100.0,100.0,100.0,58.298,58.065,56.667,69.643
45,45,RF,Gender,random,t_test,baseline,mean_FA,2.0,balanced_accuracy,70,89.83200000000001,90.78,92.398,98.27600000000001,63.025,62.903,61.016999999999996,71.954
46,46,RF,Gender,random,t_test,baseline,mean_FA,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.928999999999995,58.065,59.375,68.277
47,47,RF,Gender,random,t_test,baseline,mean_FA,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,55.357,54.839,54.839,68.277
